area_type,availability,location,size,society,total_sqft,bath,balcony,price
Carpet Area,6 months,Whitefield,2 BHK,,1104,3.0,1.0,73.18
Super built-up Area,Ready To Move,Rajajinagar,1 BHK,,508,2.0,2.0,37.24
Plot Area,1 Year,Tumkur Road,3 BHK,,2000,4.0,2.0,69.64
Plot Area,6 months,Brookefield,4 BHK,,1961,4.0,1.0,114.85
Super built-up Area,6 months,Brookefield,4 BHK,,2431,4.0,2.0,147.37
Super built-up Area,Ready To Move,Horamavu,4 BHK,,2723,4.0,0.0,111.85
Super built-up Area,6 months,Malleswaram,3 BHK,,1855,3.0,0.0,124.59
Built-up Area,6 months,Hosur Road,2 BHK,,997,2.0,3.0,42.87
Built-up Area,6 months,Jayanagar,3 BHK,,1464,3.0,3.0,93.89
Built-up Area,Ready To Move,Indiranagar,2 BHK,,1026,2.0,3.0,84.74
Built-up Area,1 Year,Marathahalli,3 BHK,,1643,4.0,3.0,90.31
Built-up Area,Ready To Move,Tumkur Road,3 BHK,,1469,4.0,0.0,55.56
Carpet Area,1 Year,Yelahanka,1 BHK,,649,1.0,3.0,32.54
Carpet Area,6 months,Devanahalli,3 BHK,,1617,3.0,2.0,79.12
Built-up Area,1 Year,Yelahanka,4 BHK,,2736,4.0,1.0,147.32
Plot Area,Ready To Move,Brookefield,2 BHK,,1321,3.0,2.0,77.19
Plot Area,Ready To Move,Uttarahalli,4 BHK,,2708,5.0,1.0,102.85
Carpet Area,Ready To Move,Tumkur Road,1 BHK,,523,2.0,0.0,17.17
Carpet Area,6 months,Hennur,3 BHK,,1780,3.0,1.0,74.43
Plot Area,1 Year,Koramangala,3 BHK,,1591,4.0,3.0,133.97
Plot Area,Ready To Move,Whitefield,3 BHK,,1542,3.0,0.0,86.67
Plot Area,Ready To Move,Yelahanka,4 BHK,,2407,5.0,3.0,113.23
Carpet Area,Ready To Move,Hosur Road,4 BHK,,2617,5.0,2.0,131.51
Carpet Area,6 months,Yeshwanthpur,3 BHK,,1420,4.0,2.0,82.68
Plot Area,Ready To Move,Electronic City,2 BHK,,1037,2.0,3.0,57.48
Carpet Area,6 months,Electronic City,4 BHK,,2005,5.0,1.0,110.76
Built-up Area,6 months,Kanakapura Road,1 BHK,,649,1.0,2.0,25.53
Plot Area,Ready To Move,Malleswaram,4 BHK,,2733,4.0,1.0,237.01
Super built-up Area,6 months,JP Nagar,2 BHK,,939,2.0,2.0,51.65
Plot Area,6 months,JP Nagar,1 BHK,,544,1.0,3.0,39.04
Carpet Area,Ready To Move,Indiranagar,3 BHK,,2035,3.0,3.0,162.49
Super built-up Area,Ready To Move,Kengeri,2 BHK,,1072,2.0,2.0,46.81
Super built-up Area,1 Year,Yelahanka,2 BHK,,1256,2.0,2.0,66.02
Plot Area,Ready To Move,Yelahanka,2 BHK,,950,2.0,1.0,47.29
Built-up Area,1 Year,Indiranagar,1 BHK,,561,1.0,1.0,47.07
Built-up Area,1 Year,Uttarahalli,2 BHK,,1151,2.0,1.0,51.73
Carpet Area,1 Year,Sadashivanagar,1 BHK,,639,1.0,3.0,61.64
Super built-up Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1044,2.0,2.0,73.73
Built-up Area,1 Year,Sadashivanagar,1 BHK,,516,1.0,0.0,46.21
Carpet Area,1 Year,Whitefield,3 BHK,,1577,4.0,1.0,85.25
Super built-up Area,1 Year,Sadashivanagar,2 BHK,,1177,2.0,0.0,110.55
Carpet Area,Ready To Move,Uttarahalli,4 BHK,,2676,5.0,3.0,110.19
Built-up Area,Ready To Move,Rajajinagar,4 BHK,,2630,4.0,1.0,194.9
Carpet Area,Ready To Move,Hennur,2 BHK,,928,3.0,1.0,45.92
Carpet Area,Ready To Move,Bannerghatta Road,3 BHK,,2009,3.0,0.0,101.95
Built-up Area,6 months,HSR Layout,4 BHK,,1895,4.0,0.0,119.86
Built-up Area,Ready To Move,Sarjapur Road,5 BHK,,2769,5.0,2.0,130.55
Carpet Area,1 Year,Bannerghatta Road,3 BHK,,1924,3.0,0.0,106.58
Built-up Area,Ready To Move,Uttarahalli,1 BHK,,470,2.0,3.0,17.41
Plot Area,6 months,Hosur Road,3 BHK,,1380,3.0,1.0,64.53
Plot Area,6 months,Indiranagar,3 BHK,,1597,3.0,0.0,112.23
Plot Area,6 months,Yelahanka,3 BHK,,1897,4.0,3.0,90.4
Super built-up Area,Ready To Move,Hosur Road,2 BHK,,1160,2.0,0.0,48.45
Plot Area,6 months,Brookefield,4 BHK,,2217,4.0,0.0,119.86
Plot Area,6 months,Indiranagar,5 BHK,,3266,5.0,0.0,229.17
Plot Area,6 months,Brookefield,2 BHK,,1283,2.0,2.0,77.02
Built-up Area,Ready To Move,Mysore Road,1 BHK,,646,2.0,1.0,23.15
Built-up Area,6 months,Horamavu,2 BHK,,1129,3.0,1.0,43.4
Built-up Area,6 months,Bellandur,4 BHK,,1819,5.0,1.0,120.66
Built-up Area,1 Year,Horamavu,3 BHK,,1479,4.0,2.0,60.42
Built-up Area,1 Year,Koramangala,3 BHK,,1905,3.0,0.0,164.78
Plot Area,1 Year,Basaveshwara Nagar,2 BHK,,1276,2.0,1.0,98.13
Plot Area,6 months,Indiranagar,3 BHK,,2079,3.0,1.0,170.12
Built-up Area,1 Year,Yelahanka,2 BHK,,995,3.0,0.0,49.64
Carpet Area,Ready To Move,Mysore Road,3 BHK,,1442,4.0,1.0,56.08
Built-up Area,1 Year,JP Nagar,3 BHK,,1454,3.0,0.0,89.56
Plot Area,Ready To Move,HSR Layout,5 BHK,,2480,5.0,2.0,172.05
Plot Area,1 Year,Whitefield,4 BHK,,2328,5.0,1.0,121.97
Built-up Area,1 Year,HSR Layout,4 BHK,,2775,4.0,1.0,185.7
Super built-up Area,1 Year,Whitefield,2 BHK,,1194,3.0,0.0,76.47
Carpet Area,Ready To Move,Bellandur,3 BHK,,1742,3.0,3.0,92.2
Built-up Area,Ready To Move,Vijayanagar,3 BHK,,1855,3.0,2.0,111.54
Plot Area,1 Year,Yelahanka,4 BHK,,1873,4.0,1.0,96.93
Carpet Area,Ready To Move,Uttarahalli,2 BHK,,1307,3.0,0.0,44.88
Super built-up Area,1 Year,Sadashivanagar,2 BHK,,1223,2.0,2.0,89.59
Carpet Area,6 months,Bannerghatta Road,2 BHK,,985,2.0,0.0,50.84
Built-up Area,6 months,Marathahalli,3 BHK,,1823,4.0,3.0,108.46
Plot Area,6 months,Indiranagar,2 BHK,,1198,3.0,1.0,92.1
Plot Area,Ready To Move,Hennur,2 BHK,,932,3.0,3.0,46.25
Plot Area,6 months,Whitefield,1 BHK,,516,1.0,1.0,31.68
Carpet Area,1 Year,Yelahanka,2 BHK,,1095,3.0,3.0,59.19
Built-up Area,1 Year,Yeshwanthpur,4 BHK,,2044,4.0,1.0,105.21
Built-up Area,Ready To Move,Kanakapura Road,2 BHK,,1021,2.0,0.0,47.01
Carpet Area,1 Year,Kengeri,3 BHK,,1779,3.0,2.0,62.59
Carpet Area,6 months,Basaveshwara Nagar,3 BHK,,1703,3.0,1.0,103.78
Super built-up Area,1 Year,Malleswaram,4 BHK,,2467,5.0,1.0,178.85
Plot Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1378,2.0,0.0,98.8
Carpet Area,1 Year,Bellandur,5 BHK,,3075,5.0,3.0,205.46
Plot Area,1 Year,Hosur Road,3 BHK,,1786,4.0,1.0,76.57
Super built-up Area,6 months,Sarjapur Road,5 BHK,,3309,6.0,3.0,179.82
Built-up Area,Ready To Move,Sarjapur Road,4 BHK,,2432,5.0,0.0,121.84
Plot Area,6 months,Hebbal,2 BHK,,982,2.0,1.0,62.8
Carpet Area,1 Year,Kengeri,1 BHK,,528,2.0,2.0,20.53
Carpet Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1266,2.0,1.0,84.98
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,1903,4.0,0.0,104.85
Plot Area,1 Year,Kanakapura Road,2 BHK,,1393,2.0,3.0,66.19
Built-up Area,6 months,Kanakapura Road,2 BHK,,1213,3.0,1.0,47.38
Built-up Area,1 Year,Koramangala,3 BHK,,2024,3.0,0.0,162.02
Carpet Area,Ready To Move,Vijayanagar,1 BHK,,463,1.0,0.0,25.51
Super built-up Area,Ready To Move,Hosur Road,2 BHK,,1183,2.0,0.0,47.39
Carpet Area,6 months,Whitefield,2 BHK,,1359,2.0,3.0,72.54
Carpet Area,6 months,Tumkur Road,1 BHK,,521,1.0,3.0,22.22
Carpet Area,Ready To Move,BTM Layout,2 BHK,,977,3.0,2.0,65.97
Carpet Area,6 months,Whitefield,3 BHK,,1612,3.0,2.0,81.1
Super built-up Area,1 Year,Electronic City,3 BHK,,1944,4.0,1.0,101.7
Carpet Area,Ready To Move,Tumkur Road,4 BHK,,1884,4.0,0.0,73.23
Plot Area,6 months,Mysore Road,3 BHK,,1800,3.0,2.0,82.52
Carpet Area,Ready To Move,Yelahanka,3 BHK,,1451,4.0,3.0,80.62
Carpet Area,1 Year,Kengeri,2 BHK,,1117,3.0,0.0,46.32
Built-up Area,6 months,HSR Layout,4 BHK,,2765,4.0,1.0,171.97
Built-up Area,Ready To Move,Indiranagar,4 BHK,,1995,4.0,0.0,159.65
Super built-up Area,1 Year,Hennur,4 BHK,,1834,5.0,2.0,92.51
Super built-up Area,6 months,Hennur,3 BHK,,1670,3.0,2.0,89.6
Plot Area,Ready To Move,Yeshwanthpur,2 BHK,,1188,2.0,0.0,66.66
Carpet Area,1 Year,Tumkur Road,2 BHK,,1048,3.0,3.0,43.51
Built-up Area,1 Year,Hosur Road,1 BHK,,585,1.0,0.0,27.77
Plot Area,1 Year,Mysore Road,4 BHK,,2753,4.0,0.0,97.39
Plot Area,1 Year,Bellandur,3 BHK,,1583,4.0,0.0,94.22
Super built-up Area,1 Year,Vijayanagar,3 BHK,,1582,4.0,0.0,80.54
Built-up Area,6 months,Sarjapur Road,2 BHK,,1141,2.0,0.0,65.01
Carpet Area,1 Year,Indiranagar,4 BHK,,2315,4.0,3.0,193.71
Super built-up Area,6 months,Tumkur Road,2 BHK,,900,2.0,1.0,39.31
Plot Area,6 months,JP Nagar,1 BHK,,603,2.0,1.0,42.95
Plot Area,Ready To Move,Electronic City,2 BHK,,1398,3.0,2.0,59.02
Built-up Area,Ready To Move,Sadashivanagar,3 BHK,,1569,3.0,3.0,117.25
Built-up Area,6 months,Mysore Road,3 BHK,,1823,3.0,0.0,79.79
Carpet Area,1 Year,Hennur,4 BHK,,1804,4.0,3.0,89.99
Built-up Area,1 Year,Bellandur,2 BHK,,1202,2.0,1.0,76.67
Built-up Area,6 months,Vijayanagar,3 BHK,,1685,4.0,0.0,88.15
Super built-up Area,1 Year,Indiranagar,3 BHK,,1747,3.0,3.0,156.34
Super built-up Area,6 months,Tumkur Road,2 BHK,,1171,2.0,2.0,44.02
Carpet Area,Ready To Move,Whitefield,4 BHK,,1976,4.0,1.0,107.34
Super built-up Area,1 Year,Uttarahalli,3 BHK,,1927,3.0,0.0,65.11
Carpet Area,1 Year,Mysore Road,3 BHK,,1766,3.0,0.0,79.49
Super built-up Area,1 Year,Vijayanagar,4 BHK,,2070,4.0,0.0,117.67
Plot Area,Ready To Move,Malleswaram,3 BHK,,2053,4.0,0.0,179.45
Super built-up Area,1 Year,Whitefield,2 BHK,,906,3.0,0.0,56.41
Carpet Area,6 months,Indiranagar,3 BHK,,1894,4.0,0.0,134.1
Super built-up Area,1 Year,Horamavu,2 BHK,,1090,2.0,3.0,50.35
Built-up Area,6 months,Brookefield,2 BHK,,1161,3.0,2.0,55.85
Plot Area,1 Year,Jayanagar,1 BHK,,522,2.0,3.0,38.24
Super built-up Area,6 months,Basaveshwara Nagar,3 BHK,,1590,3.0,3.0,102.5
Plot Area,Ready To Move,Devanahalli,3 BHK,,1361,3.0,0.0,60.68
Plot Area,1 Year,Indiranagar,2 BHK,,1264,2.0,0.0,103.66
Plot Area,Ready To Move,Bannerghatta Road,3 BHK,,1883,3.0,3.0,94.4
Plot Area,Ready To Move,Bellandur,4 BHK,,2454,5.0,1.0,129.02
Built-up Area,1 Year,Sadashivanagar,2 BHK,,1338,2.0,0.0,111.13
Built-up Area,1 Year,Horamavu,2 BHK,,1350,2.0,0.0,69.62
Carpet Area,6 months,BTM Layout,3 BHK,,1767,3.0,1.0,105.27
Carpet Area,1 Year,Basaveshwara Nagar,2 BHK,,1242,2.0,3.0,90.09
Carpet Area,1 Year,Malleswaram,3 BHK,,1358,3.0,1.0,90.08
Carpet Area,6 months,Koramangala,1 BHK,,661,1.0,0.0,50.16
Plot Area,6 months,Kanakapura Road,3 BHK,,1962,3.0,2.0,90.42
Plot Area,1 Year,Jayanagar,3 BHK,,1365,4.0,1.0,105.69
Plot Area,1 Year,Koramangala,3 BHK,,1757,4.0,1.0,139.54
Built-up Area,1 Year,Devanahalli,4 BHK,,2706,5.0,0.0,116.21
Built-up Area,Ready To Move,Hennur,4 BHK,,1981,5.0,1.0,101.01
Plot Area,Ready To Move,Bannerghatta Road,3 BHK,,1614,4.0,0.0,82.27
Plot Area,1 Year,Whitefield,3 BHK,,1598,4.0,2.0,82.0
Plot Area,6 months,JP Nagar,1 BHK,,538,2.0,2.0,32.34
Plot Area,1 Year,Rajajinagar,3 BHK,,1381,4.0,3.0,83.68
Built-up Area,1 Year,Basaveshwara Nagar,1 BHK,,519,1.0,0.0,39.93
Super built-up Area,Ready To Move,Yelahanka,4 BHK,,2094,4.0,2.0,106.06
Carpet Area,1 Year,Marathahalli,2 BHK,,1332,3.0,0.0,73.72
Carpet Area,1 Year,Mysore Road,3 BHK,,1614,3.0,1.0,73.45
Super built-up Area,Ready To Move,Jayanagar,2 BHK,,1123,2.0,1.0,90.57
Built-up Area,Ready To Move,Malleswaram,3 BHK,,1635,3.0,0.0,121.91
Built-up Area,6 months,Devanahalli,4 BHK,,1920,4.0,0.0,91.31
Super built-up Area,6 months,Indiranagar,2 BHK,,1395,3.0,1.0,98.22
Carpet Area,6 months,Horamavu,4 BHK,,2625,4.0,0.0,131.79
Carpet Area,1 Year,Brookefield,2 BHK,,1170,2.0,1.0,62.07
Super built-up Area,6 months,Sadashivanagar,3 BHK,,1707,3.0,3.0,148.8
Super built-up Area,Ready To Move,Hebbal,4 BHK,,2449,5.0,3.0,138.5
Plot Area,6 months,Tumkur Road,2 BHK,,1063,2.0,3.0,46.57
Super built-up Area,1 Year,Devanahalli,5 BHK,,2312,6.0,0.0,86.14
Super built-up Area,1 Year,Marathahalli,2 BHK,,1102,3.0,1.0,61.0
Carpet Area,6 months,Brookefield,1 BHK,,695,1.0,2.0,40.51
Plot Area,1 Year,HSR Layout,4 BHK,,1982,4.0,2.0,143.04
Plot Area,1 Year,Hebbal,1 BHK,,581,1.0,1.0,37.82
Carpet Area,1 Year,Uttarahalli,5 BHK,,2260,6.0,1.0,95.52
Carpet Area,6 months,Whitefield,5 BHK,,2402,6.0,1.0,152.87
Built-up Area,1 Year,Bannerghatta Road,2 BHK,,1193,2.0,1.0,59.29
Plot Area,6 months,Bellandur,3 BHK,,1573,3.0,1.0,88.45
Super built-up Area,6 months,Yelahanka,2 BHK,,1352,2.0,2.0,64.56
Plot Area,1 Year,Bellandur,2 BHK,,1103,3.0,3.0,73.35
Built-up Area,6 months,Yeshwanthpur,1 BHK,,502,1.0,1.0,28.57
Super built-up Area,6 months,Kengeri,2 BHK,,1172,2.0,0.0,43.51
Built-up Area,1 Year,Malleswaram,2 BHK,,1297,2.0,3.0,103.16
Carpet Area,1 Year,BTM Layout,2 BHK,,909,3.0,2.0,54.02
Built-up Area,6 months,Tumkur Road,5 BHK,,2881,6.0,1.0,101.94
Carpet Area,Ready To Move,Koramangala,4 BHK,,2573,4.0,0.0,215.7
Built-up Area,Ready To Move,Koramangala,3 BHK,,1427,4.0,2.0,101.99
Carpet Area,Ready To Move,Malleswaram,3 BHK,,2027,3.0,3.0,161.27
Plot Area,Ready To Move,Basaveshwara Nagar,4 BHK,,2064,5.0,3.0,136.42
Carpet Area,6 months,Kengeri,2 BHK,,985,2.0,0.0,37.73
Plot Area,1 Year,Brookefield,3 BHK,,1791,4.0,1.0,114.22
Carpet Area,Ready To Move,Devanahalli,5 BHK,,2468,5.0,0.0,99.95
Built-up Area,1 Year,Hosur Road,2 BHK,,1239,2.0,0.0,53.2
Built-up Area,Ready To Move,Mysore Road,3 BHK,,1717,4.0,2.0,77.27
Built-up Area,Ready To Move,Basaveshwara Nagar,4 BHK,,1909,4.0,0.0,114.52
Carpet Area,Ready To Move,Devanahalli,4 BHK,,2712,4.0,0.0,102.31
Carpet Area,1 Year,Devanahalli,3 BHK,,1854,3.0,3.0,74.09
Built-up Area,1 Year,Basaveshwara Nagar,2 BHK,,1172,2.0,2.0,81.28
Plot Area,Ready To Move,Hennur,2 BHK,,1087,2.0,1.0,49.58
Carpet Area,1 Year,Uttarahalli,1 BHK,,483,1.0,3.0,19.75
Plot Area,Ready To Move,Jayanagar,3 BHK,,1880,4.0,0.0,121.54
Carpet Area,6 months,Sarjapur Road,1 BHK,,653,2.0,1.0,32.74
Built-up Area,1 Year,BTM Layout,4 BHK,,1925,4.0,2.0,119.23
Plot Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1147,2.0,3.0,70.85
Super built-up Area,6 months,Rajajinagar,2 BHK,,1142,3.0,1.0,75.3
Carpet Area,6 months,Tumkur Road,3 BHK,,1612,3.0,0.0,63.0
Plot Area,Ready To Move,Electronic City,3 BHK,,1942,3.0,0.0,109.79
Built-up Area,6 months,Whitefield,2 BHK,,949,3.0,1.0,48.52
Plot Area,6 months,Bannerghatta Road,2 BHK,,1002,3.0,3.0,53.47
Super built-up Area,Ready To Move,Vijayanagar,3 BHK,,1351,3.0,1.0,73.63
Super built-up Area,6 months,Tumkur Road,2 BHK,,1086,2.0,0.0,45.58
Plot Area,6 months,Yeshwanthpur,2 BHK,,1045,2.0,2.0,68.47
Super built-up Area,Ready To Move,Yeshwanthpur,4 BHK,,2666,5.0,3.0,175.0
Carpet Area,Ready To Move,Electronic City,3 BHK,,1909,3.0,0.0,90.96
Super built-up Area,6 months,Marathahalli,1 BHK,,471,2.0,0.0,24.94
Plot Area,1 Year,HSR Layout,4 BHK,,2540,4.0,1.0,174.46
Plot Area,Ready To Move,Sarjapur Road,5 BHK,,3094,5.0,0.0,159.26
Carpet Area,1 Year,Hebbal,3 BHK,,1561,3.0,3.0,101.06
Carpet Area,Ready To Move,Uttarahalli,3 BHK,,1361,4.0,1.0,49.26
Plot Area,1 Year,Hosur Road,4 BHK,,1915,4.0,2.0,90.28
Built-up Area,Ready To Move,BTM Layout,5 BHK,,2562,5.0,0.0,175.58
Carpet Area,6 months,Indiranagar,3 BHK,,1962,4.0,3.0,148.43
Built-up Area,6 months,Malleswaram,2 BHK,,1132,3.0,3.0,91.19
Super built-up Area,1 Year,Bannerghatta Road,3 BHK,,2038,3.0,2.0,98.28
Super built-up Area,1 Year,Uttarahalli,3 BHK,,1941,3.0,3.0,68.13
Carpet Area,Ready To Move,Yelahanka,2 BHK,,1043,3.0,3.0,45.68
Carpet Area,Ready To Move,Hebbal,2 BHK,,1322,3.0,2.0,71.6
Plot Area,1 Year,Horamavu,4 BHK,,1916,4.0,0.0,78.88
Super built-up Area,1 Year,Tumkur Road,3 BHK,,1377,4.0,3.0,53.66
Carpet Area,6 months,Jayanagar,2 BHK,,1204,2.0,1.0,93.63
Plot Area,1 Year,Hosur Road,3 BHK,,1606,4.0,3.0,64.18
Built-up Area,6 months,Kengeri,2 BHK,,1064,2.0,1.0,47.88
Plot Area,1 Year,Hennur,2 BHK,,1243,2.0,3.0,64.77
Super built-up Area,6 months,Sadashivanagar,3 BHK,,1987,3.0,0.0,181.48
Plot Area,6 months,Kengeri,2 BHK,,1061,3.0,3.0,42.02
Plot Area,6 months,Tumkur Road,2 BHK,,1062,3.0,1.0,34.55
Carpet Area,Ready To Move,Devanahalli,5 BHK,,2917,5.0,3.0,133.48
Plot Area,6 months,Malleswaram,2 BHK,,1226,2.0,1.0,104.45
Super built-up Area,1 Year,Devanahalli,2 BHK,,1001,2.0,2.0,40.68
Plot Area,1 Year,Electronic City,5 BHK,,3390,6.0,3.0,178.78
Plot Area,1 Year,Devanahalli,3 BHK,,1840,4.0,3.0,68.33
Super built-up Area,Ready To Move,Vijayanagar,3 BHK,,1818,4.0,1.0,108.69
Built-up Area,6 months,Hosur Road,4 BHK,,2704,4.0,1.0,105.92
Built-up Area,Ready To Move,Malleswaram,2 BHK,,1353,3.0,0.0,106.21
Super built-up Area,6 months,JP Nagar,3 BHK,,1451,3.0,2.0,94.09
Built-up Area,1 Year,Yeshwanthpur,3 BHK,,1458,3.0,1.0,80.23
Plot Area,6 months,Vijayanagar,4 BHK,,2561,4.0,0.0,125.87
Carpet Area,Ready To Move,Whitefield,3 BHK,,2067,3.0,1.0,137.22
Super built-up Area,Ready To Move,Devanahalli,3 BHK,,1849,4.0,2.0,79.89
Plot Area,Ready To Move,Devanahalli,3 BHK,,1658,4.0,2.0,72.58
Carpet Area,Ready To Move,Whitefield,3 BHK,,1862,3.0,2.0,112.69
Plot Area,1 Year,BTM Layout,3 BHK,,1521,3.0,2.0,103.24
Super built-up Area,Ready To Move,Koramangala,3 BHK,,2098,3.0,3.0,143.42
Plot Area,Ready To Move,Hosur Road,3 BHK,,1673,3.0,2.0,84.17
Super built-up Area,Ready To Move,Basaveshwara Nagar,3 BHK,,2048,3.0,2.0,127.44
Plot Area,1 Year,Yelahanka,3 BHK,,1673,3.0,0.0,72.33
Carpet Area,6 months,Brookefield,3 BHK,,2046,4.0,2.0,120.52
Carpet Area,1 Year,Bannerghatta Road,4 BHK,,2135,5.0,1.0,131.79
Carpet Area,1 Year,Hebbal,3 BHK,,1920,4.0,1.0,101.15
Built-up Area,1 Year,Vijayanagar,4 BHK,,2751,5.0,1.0,151.31
Plot Area,6 months,Whitefield,4 BHK,,2445,5.0,3.0,144.31
Plot Area,Ready To Move,Yelahanka,3 BHK,,1858,3.0,1.0,85.13
Carpet Area,1 Year,Mysore Road,3 BHK,,1427,4.0,2.0,66.17
Super built-up Area,Ready To Move,Marathahalli,4 BHK,,2274,4.0,3.0,133.32
Built-up Area,Ready To Move,Electronic City,3 BHK,,2015,4.0,2.0,110.05
Plot Area,6 months,Basaveshwara Nagar,4 BHK,,2040,4.0,0.0,134.22
Plot Area,6 months,Mysore Road,3 BHK,,1941,4.0,2.0,75.17
Built-up Area,1 Year,Malleswaram,3 BHK,,1856,3.0,1.0,144.25
Built-up Area,6 months,Indiranagar,2 BHK,,1011,2.0,0.0,80.3
Carpet Area,6 months,Yeshwanthpur,2 BHK,,1041,2.0,0.0,64.83
Built-up Area,6 months,Devanahalli,5 BHK,,2784,5.0,0.0,110.65
Carpet Area,Ready To Move,Yelahanka,3 BHK,,1443,4.0,0.0,70.35
Built-up Area,6 months,Kengeri,3 BHK,,2035,3.0,3.0,92.19
Built-up Area,1 Year,Electronic City,4 BHK,,2539,4.0,2.0,135.34
Plot Area,6 months,Basaveshwara Nagar,3 BHK,,1623,4.0,0.0,98.64
Carpet Area,1 Year,Brookefield,3 BHK,,1574,4.0,3.0,98.81
Built-up Area,1 Year,Mysore Road,3 BHK,,1867,3.0,3.0,77.63
Built-up Area,6 months,Bellandur,3 BHK,,1668,3.0,3.0,102.83
Plot Area,Ready To Move,Tumkur Road,2 BHK,,1014,2.0,2.0,36.39
Super built-up Area,1 Year,Electronic City,3 BHK,,1672,4.0,0.0,81.31
Plot Area,1 Year,BTM Layout,3 BHK,,2003,4.0,2.0,132.88
Carpet Area,1 Year,Hennur,2 BHK,,934,3.0,3.0,41.89
Super built-up Area,6 months,Hosur Road,3 BHK,,1626,3.0,3.0,65.82
Built-up Area,1 Year,Bellandur,2 BHK,,1381,2.0,2.0,77.84
Carpet Area,6 months,Hosur Road,2 BHK,,907,2.0,3.0,35.54
Super built-up Area,1 Year,Uttarahalli,2 BHK,,1345,3.0,3.0,56.74
Carpet Area,Ready To Move,Electronic City,1 BHK,,543,1.0,1.0,24.04
Plot Area,1 Year,Yeshwanthpur,3 BHK,,1492,3.0,3.0,81.66
Super built-up Area,6 months,Yelahanka,4 BHK,,1814,4.0,2.0,100.06
Super built-up Area,6 months,Devanahalli,3 BHK,,1402,3.0,0.0,60.66
Super built-up Area,1 Year,Devanahalli,2 BHK,,985,3.0,0.0,39.85
Built-up Area,6 months,Yelahanka,1 BHK,,456,1.0,2.0,22.89
Plot Area,Ready To Move,Vijayanagar,2 BHK,,1067,2.0,2.0,54.95
Super built-up Area,6 months,Marathahalli,3 BHK,,1383,3.0,3.0,66.71
Carpet Area,1 Year,HSR Layout,2 BHK,,1246,3.0,2.0,89.61
Built-up Area,Ready To Move,Whitefield,3 BHK,,1964,3.0,2.0,122.27
Plot Area,6 months,Hosur Road,2 BHK,,1343,2.0,3.0,67.32
Plot Area,1 Year,Hosur Road,4 BHK,,2349,4.0,1.0,114.33
Plot Area,6 months,Electronic City,2 BHK,,1373,2.0,1.0,76.66
Plot Area,1 Year,Malleswaram,2 BHK,,902,3.0,3.0,79.06
Built-up Area,6 months,Devanahalli,4 BHK,,1934,4.0,1.0,88.75
Plot Area,6 months,Jayanagar,2 BHK,,1046,3.0,1.0,83.62
Carpet Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1294,2.0,3.0,91.9
Carpet Area,Ready To Move,Electronic City,3 BHK,,2014,4.0,1.0,89.85
Carpet Area,6 months,HSR Layout,3 BHK,,1813,4.0,2.0,114.38
Super built-up Area,1 Year,Koramangala,3 BHK,,1637,3.0,1.0,113.84
Plot Area,1 Year,Uttarahalli,2 BHK,,1232,3.0,1.0,55.27
Carpet Area,6 months,Jayanagar,2 BHK,,990,2.0,2.0,74.97
Plot Area,6 months,Devanahalli,2 BHK,,1128,2.0,2.0,52.42
Built-up Area,Ready To Move,Kengeri,1 BHK,,576,1.0,0.0,22.15
Carpet Area,6 months,Devanahalli,4 BHK,,1904,4.0,3.0,80.43
Super built-up Area,6 months,Whitefield,3 BHK,,1375,4.0,0.0,69.33
Super built-up Area,1 Year,Sadashivanagar,2 BHK,,1275,2.0,0.0,121.73
Built-up Area,Ready To Move,Electronic City,3 BHK,,1751,4.0,1.0,95.85
Carpet Area,Ready To Move,Hebbal,2 BHK,,1066,2.0,2.0,70.29
Built-up Area,6 months,HSR Layout,4 BHK,,2237,4.0,0.0,135.36
Super built-up Area,Ready To Move,Yelahanka,2 BHK,,1378,3.0,3.0,61.55
Super built-up Area,1 Year,Sadashivanagar,1 BHK,,546,2.0,0.0,44.36
Plot Area,6 months,Yelahanka,3 BHK,,1427,4.0,1.0,65.62
Built-up Area,6 months,Malleswaram,3 BHK,,1697,4.0,0.0,143.0
Super built-up Area,1 Year,Koramangala,3 BHK,,1836,4.0,2.0,131.35
Carpet Area,Ready To Move,Hennur,1 BHK,,453,1.0,2.0,21.61
Carpet Area,Ready To Move,Tumkur Road,2 BHK,,1066,3.0,3.0,41.65
Super built-up Area,1 Year,Kanakapura Road,3 BHK,,1645,3.0,0.0,72.36
Built-up Area,1 Year,Uttarahalli,2 BHK,,1131,2.0,2.0,41.3
Built-up Area,1 Year,Sadashivanagar,4 BHK,,2101,4.0,0.0,204.44
Carpet Area,1 Year,Yeshwanthpur,1 BHK,,616,1.0,0.0,35.1
Super built-up Area,Ready To Move,Horamavu,3 BHK,,2058,3.0,2.0,98.93
Carpet Area,Ready To Move,Indiranagar,3 BHK,,2035,4.0,2.0,149.21
Built-up Area,1 Year,Tumkur Road,2 BHK,,1232,3.0,1.0,51.69
Super built-up Area,1 Year,Whitefield,3 BHK,,1730,3.0,1.0,92.58
Carpet Area,6 months,Whitefield,4 BHK,,2625,4.0,3.0,161.64
